Vercel CLI 50.17.1
Retrieving project…
Fetching logs...
TIME         HOST                                                       LEVEL                                  STATUS  MESSAGE   
06:46:16.12  vlomis-agenda-5zv0hwkbi-laurentstijns-projects.vercel.app  info   λ GET /api/vlomis               200     Launching…
06:46:02.13  vlomis-agenda-5zv0hwkbi-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
06:46:02.10  vlomis-agenda-5zv0hwkbi-laurentstijns-projects.vercel.app  info   ◇ GET /                         307     (no messa…
06:46:01.61  vlomis-agenda-5zv0hwkbi-laurentstijns-projects.vercel.app  info   ◇ GET /                         401     (no messa…
06:40:40.99  vlomis-agenda-5zv0hwkbi-laurentstijns-projects.vercel.app  info   ◇ GET /icon-light-32x32.png     401     (no messa…
06:40:40.98  vlomis-agenda-5zv0hwkbi-laurentstijns-projects.vercel.app  info   ◇ GET /icon-light-32x32.png     401     (no messa…
06:40:40.24  vlomis-agenda-5zv0hwkbi-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
06:40:27.60  vlomis-agenda-5zv0hwkbi-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
06:40:27.58  vlomis-agenda-5zv0hwkbi-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
06:40:27.43  vlomis-agenda-5zv0hwkbi-laurentstijns-projects.vercel.app  info   ◇ GET /                         200     (no messa…
06:38:25.51  vlomis-agenda-q7qjuhynw-laurentstijns-projects.vercel.app  info   ◇ GET /icon-light-32x32.png     401     (no messa…
06:38:25.49  vlomis-agenda-q7qjuhynw-laurentstijns-projects.vercel.app  info   ◇ GET /icon-light-32x32.png     401     (no messa…
Fetched 100 logs for laurentstijns-projects/vlomis-agenda on branch main
